date,i1,i2,i3,i4,itotal,largetotal,percent,length,width,circumference
20230903,657698,3567,0,0,661265,657698,15.083482674012746,1877.7656935837335,0.0,657698
20230905,702318,1259,0,0,703577,702318,14.12176983927158,2001.191644995551,0.0,702318
20230907,712375,5503,0,0,717878,712375,13.352702366905778,2006.152536573428,0.0,712375
20230908,687528,955,0,0,688483,687528,14.355004599528362,2027.1408436514716,0.0,687528
20230909,708887,322,0,0,709209,708887,14.439935425583911,2100.892191427252,0.0,708887
20230911,7349,5193,0,0,12542,7349,2.9265424876289967,126.57013865837392,0.0,7349
20230913,1972,1610,0,0,3582,0,11.611949558231345,102.07840124139877,0.0,1972
20230914,1819,1768,0,0,3587,0,11.167161177676736,76.55063683601855,0.0,1819
20230916,689162,1060,0,0,690222,689162,14.595447207452716,2021.4707517053023,0.0,689162
20230918,690844,4819,0,0,695663,690844,14.500436914053822,2008.9081611661595,0.0,690844
20230919,698373,679,0,0,699052,698373,14.647119905343517,2005.138399213381,0.0,698373
20230921,718128,327,0,0,718455,718128,14.150823389630244,2097.8550950911745,0.0,718128
20230922,707573,2270,0,0,709843,707573,14.118766569410093,2002.256726796042,0.0,707573
20230923,708229,337,0,0,708566,708229,14.397626347151665,2096.7832506007862,0.0,708229
20230924,702069,234,0,0,702303,702069,14.31429177959784,2094.2368538443784,0.0,702069
20230925,707916,2265,0,0,710181,707916,13.559574177474323,2000.3929613953355,0.0,707916
20230926,717902,321,0,0,718223,717902,13.578199355151026,2101.6840866314806,0.0,717902
20230928,718622,311,0,0,718933,718622,13.793590610708756,2092.8000382262994,0.0,718622
20231001,1268,474,0,0,1742,0,8.58557508915186,58.0,0.0,1268
20231002,707220,454,0,0,707674,707220,13.945811137934836,2097.3602456421263,0.0,707220
20231003,713253,452,0,0,713705,713253,14.048226754279867,2093.0064500617286,0.0,713253
20231005,719254,313,0,0,719567,719254,13.438505375441645,2094.717164678802,0.0,719254
20231006,5803,1503,0,0,7306,0,3.3655218037391945,185.78482176970218,0.0,5803
20231008,589,461,0,0,1050,0,5.362235485978433,54.037024344425184,0.0,589
20231009,747451,578,0,0,748029,747451,12.710430479650995,2128.497122384712,0.0,747451
20231011,606,324,0,0,930,0,3.396615931976349,50.47771785649585,0.0,606
20231019,707037,514,0,0,707551,707037,13.543932489784769,2001.4244927051332,0.0,707037
,na,na,na,na,na,na,na,na,na,20231020
20231021,707383,853,0,0,708236,707383,13.84429238847995,1996.9987481217909,0.0,707383
20231024,727056,8034,0,0,735090,735090,12.772569367305664,2096.055342780815,0.0,727056
20231028,555,534,0,0,1089,0,9.988842646761158,41.182520563948,0.0,555
