,id,date,percent
308,DS_05,20231020.0,3679919
309,DS_05,20231021.0,3816886
310,DS_06,20230702.0,215765
311,DS_06,20230705.0,238284
312,DS_06,20230706.0,271828
313,DS_06,20230707.0,314020
314,DS_06,20230709.0,377482
315,DS_06,20230710.0,362695
316,DS_06,20230711.0,308462
317,DS_06,20230712.0,268809
318,DS_06,20230713.0,310923
319,DS_06,20230714.0,316792
320,DS_06,20230720.0,463751
321,DS_06,20230721.0,429352
322,DS_06,20230722.0,434251
323,DS_06,20230723.0,470294
324,DS_06,20230725.0,432231
325,DS_06,20230726.0,488301
326,DS_06,20230727.0,530666
327,DS_06,20230728.0,513604
328,DS_06,20230730.0,691522
329,DS_06,20230731.0,501285
330,DS_06,20230801.0,643525
331,DS_06,20230802.0,619809
332,DS_06,20230804.0,656324
333,DS_06,20230806.0,755512
334,DS_06,20230807.0,638253
335,DS_06,20230810.0,630924
336,DS_06,20230815.0,434083
337,DS_06,20230821.0,917926
338,DS_06,20230825.0,806447
339,DS_06,20230902.0,1043816
340,DS_06,20230903.0,959351
341,DS_06,20230904.0,976270
342,DS_06,20230906.0,1104163
343,DS_06,20230908.0,1033056
344,DS_06,20230909.0,1178329
345,DS_06,20230911.0,901240
346,DS_06,20230921.0,707026
347,DS_06,20230922.0,917980
348,DS_06,20230925.0,1037890
349,DS_06,20231001.0,1108761
350,DS_06,20231004.0,1179951
351,DS_06,20231005.0,1329367
352,DS_06,20231008.0,1198333
353,DS_06,20231009.0,1156773
354,DS_06,20231017.0,1314867
355,DS_06,20231018.0,1171485
356,DS_06,20231019.0,1231159
357,DS_06,20231020.0,1260629
358,DS_06,20231027.0,1143513
359,DS_07,20230701.0,618974
360,DS_07,20230702.0,707635
361,DS_07,20230703.0,688844
362,DS_07,20230704.0,721071
363,DS_07,20230705.0,669764
364,DS_07,20230706.0,675252
365,DS_07,20230709.0,664796
366,DS_07,20230710.0,720630
367,DS_07,20230711.0,732549
368,DS_07,20230712.0,753905
369,DS_07,20230713.0,719140
370,DS_07,20230714.0,723046
371,DS_07,20230721.0,795523
372,DS_07,20230722.0,786395
373,DS_07,20230723.0,804934
374,DS_07,20230724.0,853211
375,DS_07,20230725.0,756572
376,DS_07,20230726.0,807276
377,DS_07,20230728.0,848495
378,DS_07,20230730.0,807592
379,DS_07,20230731.0,866011
380,DS_07,20230801.0,820757
381,DS_07,20230802.0,814301
382,DS_07,20230804.0,861480
383,DS_07,20230806.0,884910
384,DS_07,20230815.0,757184
385,DS_07,20230818.0,932130
386,DS_07,20230821.0,970284
387,DS_07,20230823.0,923033
388,DS_07,20230830.0,962684
389,DS_07,20230901.0,961533
390,DS_07,20230902.0,1046881
391,DS_07,20230904.0,979700
392,DS_07,20230906.0,994441
393,DS_07,20230907.0,1046087
394,DS_07,20230908.0,989059
395,DS_07,20230909.0,1119323
396,DS_07,20230910.0,1066892
397,DS_07,20230911.0,1030855
398,DS_07,20230921.0,938390
399,DS_07,20230922.0,1013512
400,DS_07,20230925.0,1049116
401,DS_07,20230929.0,1038034
402,DS_07,20231001.0,1036777
403,DS_07,20231004.0,1086245
404,DS_07,20231007.0,1119467
405,DS_07,20231008.0,1073349
406,DS_07,20231009.0,1140722
407,DS_07,20231018.0,1082096
408,DS_07,20231020.0,1100978
409,DS_07,20231021.0,1092590
410,DS_08,20230701.0,2065311
411,DS_08,20230702.0,2144580
412,DS_08,20230703.0,2055906
413,DS_08,20230704.0,2094753
414,DS_08,20230705.0,2155143
415,DS_08,20230706.0,2112676
416,DS_08,20230710.0,2215408
417,DS_08,20230711.0,2181543
418,DS_08,20230712.0,2140811
419,DS_08,20230713.0,2200676
420,DS_08,20230714.0,2217475
421,DS_08,20230719.0,2261613
422,DS_08,20230721.0,2309212
423,DS_08,20230723.0,2284863
424,DS_08,20230724.0,2241632
425,DS_08,20230725.0,2281432
426,DS_08,20230727.0,2423868
427,DS_08,20230728.0,2275474
428,DS_08,20230729.0,2270533
429,DS_08,20230730.0,2401155
430,DS_08,20230731.0,2419131
431,DS_08,20230801.0,2320192
432,DS_08,20230804.0,2323536
433,DS_08,20230805.0,2382203
434,DS_08,20230806.0,2497876
435,DS_08,20230812.0,2395604
436,DS_08,20230815.0,2274228
437,DS_08,20230816.0,2484671
438,DS_08,20230821.0,2697235
439,DS_08,20230823.0,2559284
440,DS_08,20230904.0,2752490
441,DS_08,20230905.0,2845162
442,DS_08,20230907.0,2858434
443,DS_08,20230909.0,2715390
444,DS_08,20230910.0,2973218
445,DS_08,20230912.0,2246301
446,DS_08,20230923.0,2800278
447,DS_08,20230924.0,2758272
448,DS_08,20230926.0,2795099
449,DS_08,20230927.0,2778857
450,DS_08,20230928.0,2859761
451,DS_08,20230929.0,2824581
452,DS_08,20231002.0,2839734
453,DS_08,20231004.0,2848237
454,DS_08,20231005.0,2889394
455,DS_08,20231007.0,2942100
456,DS_08,20231008.0,2900335
457,DS_08,20231009.0,2945814
458,DS_08,20231011.0,3008518
459,DS_08,20231018.0,2832417
460,DS_08,20231020.0,2914303
461,DS_08,20231021.0,2988543
462,DS_08,20231027.0,2914274
463,DS_08,20231028.0,3008723
464,DS_08,20231029.0,2873837
465,DS_09,20230701.0,734119
466,DS_09,20230702.0,701943
467,DS_09,20230703.0,760091
468,DS_09,20230704.0,721686
469,DS_09,20230706.0,790993
470,DS_09,20230708.0,787125
471,DS_09,20230709.0,849911
472,DS_09,20230712.0,797070
473,DS_09,20230713.0,835574
474,DS_09,20230714.0,842083
475,DS_09,20230720.0,937084
476,DS_09,20230721.0,908275
477,DS_09,20230722.0,925159
478,DS_09,20230723.0,968138
479,DS_09,20230724.0,988023
480,DS_09,20230728.0,956520
481,DS_09,20230729.0,927279
482,DS_09,20230731.0,1027864
483,DS_09,20230801.0,1017798
484,DS_09,20230802.0,1012119
485,DS_09,20230804.0,1068019
486,DS_09,20230805.0,1147039
487,DS_09,20230806.0,1062432
488,DS_09,20230811.0,1128560
489,DS_09,20230815.0,1052249
490,DS_09,20230816.0,1073036
491,DS_09,20230818.0,1194313
492,DS_09,20230820.0,1470798
493,DS_09,20230821.0,1156105
494,DS_09,20230823.0,1275749
495,DS_09,20230904.0,1425518
496,DS_09,20230906.0,1554515
497,DS_09,20230908.0,1508562
498,DS_09,20230909.0,1658576
499,DS_09,20230910.0,1445283
500,DS_09,20230924.0,1557575
501,DS_09,20230925.0,1543096
502,DS_09,20230928.0,1764806
503,DS_09,20230929.0,1642334
504,DS_09,20231002.0,1713607
505,DS_09,20231005.0,1713303
506,DS_09,20231007.0,1535097
507,DS_09,20231009.0,1688336
508,DS_09,20231015.0,1585836
509,DS_09,20231018.0,1677239
510,DS_09,20231028.0,1892111
511,DS_10,20230702.0,1955088
512,DS_10,20230705.0,1903600
513,DS_10,20230706.0,2004392
514,DS_10,20230707.0,1982564
515,DS_10,20230709.0,2086695
516,DS_10,20230711.0,2078164
517,DS_10,20230713.0,2040694
518,DS_10,20230714.0,2071189
519,DS_10,20230720.0,2191909
520,DS_10,20230722.0,2220970
521,DS_10,20230723.0,2280600
522,DS_10,20230725.0,2211503
523,DS_10,20230727.0,2229073
524,DS_10,20230728.0,2287414
525,DS_10,20230730.0,2621829
526,DS_10,20230731.0,2241485
527,DS_10,20230801.0,2321119
528,DS_10,20230802.0,2358693
529,DS_10,20230804.0,2342854
530,DS_10,20230806.0,2389134
531,DS_10,20230807.0,2308910
532,DS_10,20230810.0,2290292
533,DS_10,20230812.0,2408346
534,DS_10,20230815.0,2434962
535,DS_10,20230818.0,2458739
536,DS_10,20230821.0,2730120
537,DS_10,20230830.0,2651557
538,DS_10,20230901.0,2386823
539,DS_10,20230902.0,2664461
540,DS_10,20230903.0,2594984
541,DS_10,20230904.0,2709806
542,DS_10,20230906.0,2780533
543,DS_10,20230908.0,2817267
544,DS_10,20230909.0,2912886
545,DS_10,20230924.0,2871891
546,DS_10,20230925.0,2958097
547,DS_10,20231004.0,3053711
548,DS_10,20231015.0,3109732
549,DS_10,20231018.0,3092998
550,DS_10,20231020.0,3091895
551,DS_11,20230701.0,884562
552,DS_11,20230702.0,918657
553,DS_11,20230704.0,978171
554,DS_11,20230705.0,935736
555,DS_11,20230709.0,972645
556,DS_11,20230710.0,1141228
557,DS_11,20230711.0,1154112
558,DS_11,20230712.0,1132680
559,DS_11,20230713.0,1041174
560,DS_11,20230714.0,1222742
561,DS_11,20230716.0,1069937
562,DS_11,20230719.0,1210697
563,DS_11,20230720.0,1114646
564,DS_11,20230723.0,1082123
565,DS_11,20230724.0,1139724
566,DS_11,20230725.0,1164140
567,DS_11,20230726.0,1139453
568,DS_11,20230727.0,1214472
569,DS_11,20230728.0,1210218
570,DS_11,20230730.0,1165123
571,DS_11,20230801.0,1386485
572,DS_11,20230805.0,1206918
573,DS_11,20230806.0,1236336
574,DS_11,20230815.0,1067111
575,DS_11,20230818.0,1421541
576,DS_11,20230822.0,1566133
577,DS_11,20230823.0,1499958
578,DS_11,20230825.0,1710552
579,DS_11,20230828.0,1475776
580,DS_11,20230901.0,1488343
