id,date,precip,runoff
20231008,08/10/2023,5.121470778703952E-4,9.834766387939453E-7
20231009,09/10/2023,0.002663988,6.243586540222168E-6
20231010,10/10/2023,0.001661241,3.337860107421875E-6
20231011,11/10/2023,5.986988544464111E-4,1.0579824447631836E-6
20231012,12/10/2023,3.228962420394055E-4,5.811452865600586E-7
20231013,13/10/2023,4.840499067881865E-4,8.046627044677734E-7
20231014,14/10/2023,2.778530120508549E-4,4.76837158203125E-7
20231015,15/10/2023,0.001474744,2.473592758178711E-6
20231016,16/10/2023,0.001746204,3.1441450119018555E-6
20231017,17/10/2023,2.529561518826995E-4,4.470348358154297E-7
20231018,18/10/2023,1.1116266159660881E-4,1.7881393432617188E-7
20231019,19/10/2023,0.001021692,1.6540288925170898E-6
20231020,20/10/2023,4.6653575111577084E-5,8.940696716308594E-8
20231021,21/10/2023,1.2860662650382437E-6,0
20231022,22/10/2023,3.8295984268188477E-5,7.450580596923828E-8
20231023,23/10/2023,0.001098639,1.8477439880371094E-6
20231024,24/10/2023,3.8474202155924786E-4,6.109476089477539E-7
20231025,25/10/2023,0.00412977,7.838010787963867E-6
20231026,26/10/2023,0.021301126,7.042288780212402E-5
20231027,27/10/2023,0.005496464,2.0042061805725098E-5
20231028,28/10/2023,1.930445432662964E-4,5.066394805908203E-7
20231029,29/10/2023,1.2646932532334176E-6,0
20231030,30/10/2023,0.001814204,4.641711711883545E-6
20231031,31/10/2023,1.176140722236596E-5,2.9802322387695312E-8
